HOG,OG,Gene Tree Parent Clade,Bdistachyon_pep,EM_A_pep,EM_B_pep,TaCS_A_pep_longest,TaCS_B_pep_longest,TaCS_D_pep_longest,barley,emmer,wheat,barley_rates,wheat_rates,emmer_rates,barley/emmer,barley/wheat,emmer/wheat
N1.HOG0000615,OG0000077,n35,,"TRIDC3AG013270.1, TRIDC3AG013150.1, TRIDC4AG049040.1","TRIDC4BG007140.1, TRIDC4BG007340.1, TRIDC0UG014860.1","TraesCS4A02G267200, TraesCS3A02G106800, TraesCS4A02G324100","TraesCS4B02G046000, TraesCS5B02G554000, TraesCS5B02G537100","TraesCS4D02G046000, TraesCS4D02G047000",HORVU.MOREX.r2.5HG0445780.1,"TRIDC3AG013270.1, TRIDC3AG013150.1, TRIDC4AG049040.1, TRIDC4BG007140.1, TRIDC4BG007340.1, TRIDC0UG014860.1","TraesCS4A02G267200, TraesCS3A02G106800, TraesCS4A02G324100, TraesCS4B02G046000, TraesCS5B02G554000, TraesCS5B02G537100, TraesCS4D02G046000, TraesCS4D02G047000",0.8421052631578947,0.5,0.75,1.1228070175438596,1.6842105263157894,1.5
N1.HOG0000648,OG0000083,n27,,TRIDC7AG072750.1,"TRIDC7BG068910.1, TRIDC7BG068870.1",TraesCS7A02G518600,TraesCS7B02G434600,"TraesCS7D02G508500, TraesCS7D02G508300",HORVU.MOREX.r2.7HG0606930.1,"TRIDC7AG072750.1, TRIDC7BG068910.1, TRIDC7BG068870.1","TraesCS7A02G518600, TraesCS7B02G434600, TraesCS7D02G508500, TraesCS7D02G508300",0.8947368421052632,0.6333333333333333,0.7,1.2781954887218046,1.4127423822714682,1.1052631578947367
N1.HOG0000701,OG0000092,n14,,"TRIDC2AG075620.1, TRIDC2AG075600.1","TRIDC0UG027580.1, TRIDC0UG028100.1, TRIDC2BG082670.1, TRIDC0UG006680.1, TRIDC2BG082690.1, TRIDC2BG082680.1, TRIDC0UG025290.1, TRIDC0UG006690.1","TraesCS2A02G542200, TraesCS2A02G542000, TraesCS2A02G541800, TraesCS2A02G542300","TraesCS2B02G572200, TraesCS2B02G572000, TraesCS2B02G572300, TraesCS2B02G572100","TraesCSU02G231800, TraesCSU02G222700, TraesCSU02G228900, TraesCSU02G262200, TraesCSU02G212400, TraesCS2D02G543500, TraesCSU02G231500, TraesCSU02G231900, TraesCS2D02G543100, TraesCS2D02G543300, TraesCS2D02G543000","HORVU.MOREX.r2.UnG0630380.1, HORVU.MOREX.r2.2HG0177250.1, HORVU.MOREX.r2.2HG0177220.1","TRIDC2AG075620.1, TRIDC2AG075600.1, TRIDC0UG027580.1, TRIDC0UG028100.1, TRIDC2BG082670.1, TRIDC0UG006680.1, TRIDC2BG082690.1, TRIDC2BG082680.1, TRIDC0UG025290.1, TRIDC0UG006690.1","TraesCS2A02G542200, TraesCS2A02G542000, TraesCS2A02G541800, TraesCS2A02G542300, TraesCS2B02G572200, TraesCS2B02G572000, TraesCS2B02G572300, TraesCS2B02G572100, TraesCSU02G231800, TraesCSU02G222700, TraesCSU02G228900, TraesCSU02G262200, TraesCSU02G212400, TraesCS2D02G543500, TraesCSU02G231500, TraesCSU02G231900, TraesCS2D02G543100, TraesCS2D02G543300, TraesCS2D02G543000",0.8947368421052632,0.4190476190476191,0.6611111111111111,1.3533834586466167,2.1351674641148324,1.577651515151515
N1.HOG0000713,OG0000095,n0,,"TRIDC2AG017300.1, TRIDC2AG017500.1, TRIDC2AG017560.1, TRIDC7AG059010.1, TRIDC5AG024940.1, TRIDC2AG017280.1","TRIDC2BG020860.1, TRIDC2BG020870.1, TRIDC0UG027290.1, TRIDC2BG021120.1, TRIDC2BG021170.1, TRIDC2BG020850.1, TRIDC2BG025720.1, TRIDC2BG021060.1","TraesCS2A02G140600, TraesCS2A02G140700, TraesCS5A02G148800, TraesCS2A02G138900, TraesCS7A02G425400, TraesCS2A02G138800, TraesCS2A02G175800","TraesCS2B02G164800, TraesCS2B02G164500, TraesCS2B02G165500, TraesCS2B02G165000, TraesCS2B02G202500, TraesCS2B02G162700, TraesCS2B02G162600, TraesCS2B02G162900, TraesCS5B02G175300, TraesCS2B02G165600, TraesCS2B02G162800","TraesCS2D02G183200, TraesCS5D02G144000, TraesCS2D02G143800, TraesCS2D02G141700, TraesCS2D02G141600, TraesCS5D02G182200, TraesCS2D02G143900, TraesCS2D02G144200, TraesCS2D02G141800","HORVU.MOREX.r2.2HG0097850.1, HORVU.MOREX.r2.UnG0635160.1, HORVU.MOREX.r2.2HG0097870.1, HORVU.MOREX.r2.2HG0097860.1, HORVU.MOREX.r2.2HG0097570.1, HORVU.MOREX.r2.2HG0097580.1, HORVU.MOREX.r2.2HG0097590.1","TRIDC2AG017300.1, TRIDC2AG017500.1, TRIDC2AG017560.1, TRIDC7AG059010.1, TRIDC5AG024940.1, TRIDC2AG017280.1, TRIDC2BG020860.1, TRIDC2BG020870.1, TRIDC0UG027290.1, TRIDC2BG021120.1, TRIDC2BG021170.1, TRIDC2BG020850.1, TRIDC2BG025720.1, TRIDC2BG021060.1","TraesCS2A02G140600, TraesCS2A02G140700, TraesCS5A02G148800, TraesCS2A02G138900, TraesCS7A02G425400, TraesCS2A02G138800, TraesCS2A02G175800, TraesCS2B02G164800, TraesCS2B02G164500, TraesCS2B02G165500, TraesCS2B02G165000, TraesCS2B02G202500, TraesCS2B02G162700, TraesCS2B02G162600, TraesCS2B02G162900, TraesCS5B02G175300, TraesCS2B02G165600, TraesCS2B02G162800, TraesCS2D02G183200, TraesCS5D02G144000, TraesCS2D02G143800, TraesCS2D02G141700, TraesCS2D02G141600, TraesCS5D02G182200, TraesCS2D02G143900, TraesCS2D02G144200, TraesCS2D02G141800",0.7894736842105263,0.5111111111111111,0.7166666666666667,1.1015911872705018,1.5446224256292909,1.4021739130434785
N1.HOG0000720,OG0000096,n34,,TRIDC7AG060170.1,TRIDC7BG055490.1,"TraesCS7A02G431000, TraesCS7A02G431300, TraesCS7A02G424600, TraesCS7A02G431200, TraesCS7A02G431100","TraesCS7B02G330100, TraesCS7B02G328800, TraesCS7B02G331800","TraesCSU02G243800, TraesCS7D02G423200, TraesCS7D02G423000",HORVU.MOREX.r2.7HG0605030.1,"TRIDC7AG060170.1, TRIDC7BG055490.1","TraesCS7A02G431000, TraesCS7A02G431300, TraesCS7A02G424600, TraesCS7A02G431200, TraesCS7A02G431100, TraesCS7B02G330100, TraesCS7B02G328800, TraesCS7B02G331800, TraesCSU02G243800, TraesCS7D02G423200, TraesCS7D02G423000",0.9473684210526316,0.7733333333333333,0.875,1.0827067669172934,1.2250453720508168,1.1314655172413792
N1.HOG0000757,OG0000101,n41,,,TRIDC0UG028910.1,,"TraesCS3B02G051600, TraesCS3B02G051400, TraesCS3B02G051800, TraesCS3B02G051000, TraesCS3B02G051200",,HORVU.MOREX.r2.3HG0185380.1,TRIDC0UG028910.1,"TraesCS3B02G051600, TraesCS3B02G051400, TraesCS3B02G051800, TraesCS3B02G051000, TraesCS3B02G051200",0.9473684210526316,0.4,0.85,1.1145510835913313,2.3684210526315788,2.125
N1.HOG0000833,OG0000114,n39,,,TRIDC2BG090660.1,,,"TraesCS6D02G014800, TraesCSU02G029300","HORVU.MOREX.r2.6HG0457460.1, HORVU.MOREX.r2.6HG0448210.1",TRIDC2BG090660.1,"TraesCS6D02G014800, TraesCSU02G029300",0.868421052631579,0.33333333333333337,0.65,1.3360323886639676,2.6052631578947367,1.95
N1.HOG0000842,OG0000116,n18,,"TRIDC6AG010240.1, TRIDC6AG010230.1","TRIDC6BG015250.1, TRIDC6BG015310.1, TRIDC6BG011390.1","TraesCS6A02G083500, TraesCS6A02G083600","TraesCS6B02G113400, TraesCS6B02G085000","TraesCS6D02G077200, TraesCS6D02G061200",HORVU.MOREX.r2.6HG0458400.1,"TRIDC6AG010240.1, TRIDC6AG010230.1, TRIDC6BG015250.1, TRIDC6BG015310.1, TRIDC6BG011390.1","TraesCS6A02G083500, TraesCS6A02G083600, TraesCS6B02G113400, TraesCS6B02G085000, TraesCS6D02G077200, TraesCS6D02G061200",0.5789473684210527,0.4888888888888888,0.5166666666666667,1.1205432937181663,1.1842105263157896,1.056818181818182
N1.HOG0000846,OG0000117,n1,,"TRIDC4AG058040.1, TRIDC4AG058050.1",,"TraesCS7A02G091400, TraesCS4A02G391600, TraesCS4A02G391400, TraesCS7A02G091500",,"TraesCS7D02G085600, TraesCS7D02G087100, TraesCS7D02G087200",HORVU.MOREX.r2.7HG0539120.1,"TRIDC4AG058040.1, TRIDC4AG058050.1","TraesCS7A02G091400, TraesCS4A02G391600, TraesCS4A02G391400, TraesCS7A02G091500, TraesCS7D02G085600, TraesCS7D02G087100, TraesCS7D02G087200",0.9473684210526316,0.8,0.9,1.0526315789473684,1.1842105263157894,1.125
N1.HOG0000858,OG0000118,n33,,"TRIDC6AG005020.1, TRIDC6AG005030.1","TRIDC6BG008910.1, TRIDC6BG007240.1, TRIDC0UG031390.1, TRIDC5BG072520.1",TraesCS6A02G042500,"TraesCS6B02G068900, TraesCS5B02G483600","TraesCS6D02G049000, TraesCS1D02G396900",HORVU.MOREX.r2.5HG0436570.1,"TRIDC6AG005020.1, TRIDC6AG005030.1, TRIDC6BG008910.1, TRIDC6BG007240.1, TRIDC0UG031390.1, TRIDC5BG072520.1","TraesCS6A02G042500, TraesCS6B02G068900, TraesCS5B02G483600, TraesCS6D02G049000, TraesCS1D02G396900",0.9473684210526316,0.6222222222222222,0.675,1.4035087719298245,1.5225563909774438,1.0848214285714286
N1.HOG0000879,OG0000123,n13,,TRIDC3AG005590.1,,TraesCS3A02G049500,"TraesCS3B02G056000, TraesCS3B02G055835",,"HORVU.MOREX.r2.3HG0187930.1, HORVU.MOREX.r2.3HG0187910.1",TRIDC3AG005590.1,"TraesCS3A02G049500, TraesCS3B02G056000, TraesCS3B02G055835",0.8947368421052632,0.6888888888888889,0.85,1.0526315789473684,1.298811544991511,1.2338709677419355
N1.HOG0000948,OG0000134,n31,,"TRIDC4AG070080.1, TRIDC7AG001350.1",,,,TraesCS7D02G013400,HORVU.MOREX.r2.7HG0528560.1,"TRIDC4AG070080.1, TRIDC7AG001350.1",TraesCS7D02G013400,0.7894736842105263,0.4,0.5,1.5789473684210527,1.9736842105263157,1.25
N1.HOG0000999,OG0000145,n7,,,"TRIDC0UG014110.1, TRIDC5BG055610.1",TraesCS5A02G351600,"TraesCS5B02G353500, TraesCS5B02G354100, TraesCS3B02G022400","TraesCS5D02G358900, TraesCS3D02G023600",HORVU.MOREX.r2.5HG0418300.1,"TRIDC0UG014110.1, TRIDC5BG055610.1","TraesCS5A02G351600, TraesCS5B02G353500, TraesCS5B02G354100, TraesCS3B02G022400, TraesCS5D02G358900, TraesCS3D02G023600",0.6842105263157895,0.24444444444444435,0.525,1.3032581453634084,2.799043062200958,2.147727272727274
N1.HOG0001027,OG0000150,n11,,"TRIDC2AG000940.1, TRIDC2AG000960.1",TRIDC2BG000860.1,TraesCS2A02G009900,TraesCS2B02G012300,TraesCS2D02G010500,HORVU.MOREX.r2.2HG0079600.1,"TRIDC2AG000940.1, TRIDC2AG000960.1, TRIDC2BG000860.1","TraesCS2A02G009900, TraesCS2B02G012300, TraesCS2D02G010500",0.9473684210526316,0.7333333333333334,0.75,1.2631578947368423,1.291866028708134,1.0227272727272727
N1.HOG0001035,OG0000151,n7,,,TRIDC1BG004140.1,"TraesCS1A02G031800, TraesCS1A02G031900","TraesCS1B02G039500, TraesCS1B02G039800",TraesCS1D02G033300,HORVU.MOREX.r2.1HG0003970.1,TRIDC1BG004140.1,"TraesCS1A02G031800, TraesCS1A02G031900, TraesCS1B02G039500, TraesCS1B02G039800, TraesCS1D02G033300",0.8421052631578947,0.5555555555555556,0.65,1.2955465587044532,1.5157894736842104,1.17
N1.HOG0001056,OG0000154,n21,,,"TRIDC3BG043220.1, TRIDC5BG065850.1, TRIDC5BG069360.1",,"TraesCS3B02G287800, TraesCS5B02G429100, TraesCS5B02G454800, TraesCS5B02G452600, TraesCS5B02G458000","TraesCS5D02G454700, TraesCS5D02G450600",HORVU.MOREX.r2.5HG0432880.1,"TRIDC3BG043220.1, TRIDC5BG065850.1, TRIDC5BG069360.1","TraesCS3B02G287800, TraesCS5B02G429100, TraesCS5B02G454800, TraesCS5B02G452600, TraesCS5B02G458000, TraesCS5D02G454700, TraesCS5D02G450600",0.8947368421052632,0.33333333333333337,0.75,1.1929824561403508,2.6842105263157894,2.2499999999999996
N1.HOG0001097,OG0000161,n17,,"TRIDC3AG008060.1, TRIDC3AG008220.1","TRIDC2BG087910.1, TRIDC3BG011330.1, TRIDC3BG011360.1","TraesCS3A02G068200, TraesCS3A02G068700, TraesCS3A02G069800","TraesCS2B02G607700, TraesCS3B02G083600, TraesCS3B02G082400, TraesCS3B02G081600, TraesCS3B02G083500",TraesCS3D02G068800,HORVU.MOREX.r2.3HG0190830.1,"TRIDC3AG008060.1, TRIDC3AG008220.1, TRIDC2BG087910.1, TRIDC3BG011330.1, TRIDC3BG011360.1","TraesCS3A02G068200, TraesCS3A02G068700, TraesCS3A02G069800, TraesCS2B02G607700, TraesCS3B02G083600, TraesCS3B02G082400, TraesCS3B02G081600, TraesCS3B02G083500, TraesCS3D02G068800",0.9473684210526316,0.5333333333333333,0.8375,1.131186174391202,1.7763157894736843,1.5703125
N1.HOG0001144,OG0000171,n20,,"TRIDC1AG009850.1, TRIDC5AG047110.1, TRIDC7AG005850.1, TRIDC2AG039470.1, TRIDC4AG064080.1, TRIDC7AG005860.1, TRIDC4AG064270.1, TRIDC7AG005830.1",TRIDC3BG026990.1,"TraesCS4A02G442300, TraesCS4A02G442200, TraesCS7A02G055800, TraesCS7A02G056200, TraesCS4A02G442800",TraesCS2B02G628900,"TraesCS7D02G050400, TraesCS7D02G051100","HORVU.MOREX.r2.7HG0533810.1, HORVU.MOREX.r2.7HG0533890.1","TRIDC1AG009850.1, TRIDC5AG047110.1, TRIDC7AG005850.1, TRIDC2AG039470.1, TRIDC4AG064080.1, TRIDC7AG005860.1, TRIDC4AG064270.1, TRIDC7AG005830.1, TRIDC3BG026990.1","TraesCS4A02G442300, TraesCS4A02G442200, TraesCS7A02G055800, TraesCS7A02G056200, TraesCS4A02G442800, TraesCS2B02G628900, TraesCS7D02G050400, TraesCS7D02G051100",0.9473684210526316,0.19999999999999996,0.725,1.3067150635208713,4.736842105263159,3.625000000000001
N1.HOG0001149,OG0000174,n14,,,TRIDC3BG076230.1,"TraesCS3A02G479200, TraesCS3A02G479100, TraesCS3A02G479400, TraesCS3A02G479000","TraesCS3B02G523400, TraesCS3B02G522800, TraesCS3B02G522700, TraesCS3B02G522600, TraesCS3B02G522400, TraesCS3B02G522500","TraesCS3D02G474000, TraesCS3D02G474300, TraesCS3D02G473700","HORVU.MOREX.r2.3HG0265550.1, HORVU.MOREX.r2.3HG0265710.1",TRIDC3BG076230.1,"TraesCS3A02G479200, TraesCS3A02G479100, TraesCS3A02G479400, TraesCS3A02G479000, TraesCS3B02G523400, TraesCS3B02G522800, TraesCS3B02G522700, TraesCS3B02G522600, TraesCS3B02G522400, TraesCS3B02G522500, TraesCS3D02G474000, TraesCS3D02G474300, TraesCS3D02G473700",0.736842105263158,0.5696969696969697,0.7,1.0526315789473686,1.2933930571108623,1.228723404255319
N1.HOG0001157,OG0000175,n19,,TRIDC6AG000230.1,,"TraesCS6A02G001900, TraesCS6A02G001800",,TraesCS6D02G004000,HORVU.MOREX.r2.6HG0448630.1,TRIDC6AG000230.1,"TraesCS6A02G001900, TraesCS6A02G001800, TraesCS6D02G004000",0.9473684210526316,0.33333333333333337,0.9,1.0526315789473684,2.8421052631578947,2.6999999999999997
N1.HOG0001177,OG0000180,n21,,"TRIDC7AG011130.1, TRIDC4AG057620.1, TRIDC4AG057630.1",TRIDC0UG032960.1,"TraesCS7A02G094400, TraesCS7A02G094600, TraesCS4A02G394900",,"TraesCS7D02G090300, TraesCS7D02G090500, TraesCSU02G062700, TraesCSU02G250800, TraesCS7D02G090600","HORVU.MOREX.r2.7HG0539320.1, HORVU.MOREX.r2.7HG0539330.1, HORVU.MOREX.r2.7HG0539340.1, HORVU.MOREX.r2.UnG0633450.1, HORVU.MOREX.r2.7HG0539360.1","TRIDC7AG011130.1, TRIDC4AG057620.1, TRIDC4AG057630.1, TRIDC0UG032960.1","TraesCS7A02G094400, TraesCS7A02G094600, TraesCS4A02G394900, TraesCS7D02G090300, TraesCS7D02G090500, TraesCSU02G062700, TraesCSU02G250800, TraesCS7D02G090600",0.8947368421052632,0.6222222222222222,0.75,1.1929824561403508,1.4379699248120301,1.2053571428571428
N1.HOG0001179,OG0000181,n6,,"TRIDC7AG073980.1, TRIDC2AG082160.1","TRIDC7BG070340.1, TRIDC2BG002840.1, TRIDC5BG081000.1, TRIDC2BG002980.1, TRIDC3BG017430.1","TraesCS2A02G024200, TraesCS2A02G563400","TraesCS3B02G001200, TraesCS2B02G036700, TraesCS7B02G446500, TraesCS7B02G446600, TraesCS7B02G446400, TraesCS7B02G494500, TraesCS5B02G544700, TraesCS2B02G038000","TraesCS2D02G026700, TraesCS5D02G543500, TraesCS2D02G572000",HORVU.MOREX.r2.2HG0180470.1,"TRIDC7AG073980.1, TRIDC2AG082160.1, TRIDC7BG070340.1, TRIDC2BG002840.1, TRIDC5BG081000.1, TRIDC2BG002980.1, TRIDC3BG017430.1","TraesCS2A02G024200, TraesCS2A02G563400, TraesCS3B02G001200, TraesCS2B02G036700, TraesCS7B02G446500, TraesCS7B02G446600, TraesCS7B02G446400, TraesCS7B02G494500, TraesCS5B02G544700, TraesCS2B02G038000, TraesCS2D02G026700, TraesCS5D02G543500, TraesCS2D02G572000",0.5263157894736843,0.38,0.44000000000000006,1.1961722488038278,1.3850415512465375,1.1578947368421053
N1.HOG0001211,OG0000187,n14,,"TRIDC7AG004220.1, TRIDC4AG065920.1",,"TraesCS7A02G042200, TraesCS4A02G445500",,TraesCS7D02G037700,HORVU.MOREX.r2.7HG0532280.1,"TRIDC7AG004220.1, TRIDC4AG065920.1","TraesCS7A02G042200, TraesCS4A02G445500, TraesCS7D02G037700",0.9473684210526316,0.7333333333333334,0.875,1.0827067669172934,1.291866028708134,1.1931818181818181
N1.HOG0001261,OG0000195,n3,,"TRIDC2AG080000.1, TRIDC2AG079980.1","TRIDC2BG072690.1, TRIDC2BG072700.1, TRIDC2BG072710.1","TraesCS2A02G578500, TraesCS2A02G581500","TraesCS2B02G502800, TraesCS2B02G501800, TraesCS2B02G501700, TraesCS2B02G502100, TraesCS2B02G502300, TraesCS2B02G502600, TraesCS2B02G609300","TraesCS2D02G477600, TraesCS2D02G589700",HORVU.MOREX.r2.2HG0178700.1,"TRIDC2AG080000.1, TRIDC2AG079980.1, TRIDC2BG072690.1, TRIDC2BG072700.1, TRIDC2BG072710.1","TraesCS2A02G578500, TraesCS2A02G581500, TraesCS2B02G502800, TraesCS2B02G501800, TraesCS2B02G501700, TraesCS2B02G502100, TraesCS2B02G502300, TraesCS2B02G502600, TraesCS2B02G609300, TraesCS2D02G477600, TraesCS2D02G589700",0.8947368421052632,0.55,0.7625,1.173425366695427,1.6267942583732056,1.3863636363636362
