HOG,OG,Gene Tree Parent Clade,Bdistachyon_pep,EM_A_pep,EM_B_pep,TaCS_A_pep_longest,TaCS_B_pep_longest,TaCS_D_pep_longest,barley,emmer,wheat,barley_rates,wheat_rates,emmer_rates,barley/emmer,barley/wheat,emmer/wheat
N1.HOG0000091,OG0000005,n109,,,,TraesCS3A02G306100,TraesCS1B02G067900,TraesCS4D02G166100,"HORVU.MOREX.r2.4HG0287770.1, HORVU.MOREX.r2.4HG0340020.1",,"TraesCS3A02G306100, TraesCS1B02G067900, TraesCS4D02G166100",0.9473684210526316,,,,,
N1.HOG0000102,OG0000006,n36,,"TRIDC6AG012020.1, TRIDC1AG054270.1, TRIDC1AG054250.1","TRIDC6BG017380.1, TRIDC1BG062120.1",TraesCS6A02G094200,"TraesCS6B02G122600, TraesCS1B02G388200, TraesCS1B02G388500, TraesCS1B02G388300","TraesCS1D02G375100, TraesCS1D02G374900, TraesCSU02G167700, TraesCS1D02G375000","HORVU.MOREX.r2.1HG0073480.1, HORVU.MOREX.r2.1HG0073510.1, HORVU.MOREX.r2.6HG0460180.1, HORVU.MOREX.r2.1HG0064430.1","TRIDC6AG012020.1, TRIDC1AG054270.1, TRIDC1AG054250.1, TRIDC6BG017380.1, TRIDC1BG062120.1","TraesCS6A02G094200, TraesCS6B02G122600, TraesCS1B02G388200, TraesCS1B02G388500, TraesCS1B02G388300, TraesCS1D02G375100, TraesCS1D02G374900, TraesCSU02G167700, TraesCS1D02G375000",0.9473684210526316,0.6,0.7125,1.3296398891966759,1.5789473684210529,1.1875
N1.HOG0000103,OG0000006,n54,,TRIDC6AG011950.1,,TraesCS6A02G093700,,TraesCS6D02G088800,HORVU.MOREX.r2.6HG0460170.1,TRIDC6AG011950.1,"TraesCS6A02G093700, TraesCS6D02G088800",0.9473684210526316,0.8,,,1.1842105263157894,
N1.HOG0000106,OG0000006,n66,,TRIDC7AG024950.1,,TraesCS7A02G238400,,TraesCS7D02G199500,HORVU.MOREX.r2.7HG0554650.1,TRIDC7AG024950.1,"TraesCS7A02G238400, TraesCS7D02G199500",0.8947368421052632,,,,,
N1.HOG0000112,OG0000007,n6,,,,TraesCS7A02G075300,TraesCS1B02G059300,TraesCS1D02G046600,HORVU.MOREX.r2.1HG0006200.1,,"TraesCS7A02G075300, TraesCS1B02G059300, TraesCS1D02G046600",0.8947368421052632,,,,,
N1.HOG0000113,OG0000007,n9,,,,"TraesCS4A02G383600, TraesCS4A02G373400",TraesCS6B02G006300,TraesCS7D02G070800,HORVU.MOREX.r2.6HG0448660.1,,"TraesCS4A02G383600, TraesCS4A02G373400, TraesCS6B02G006300, TraesCS7D02G070800",0.736842105263158,0.8,,,0.9210526315789475,
N1.HOG0000120,OG0000007,n57,,,,TraesCS3A02G466000,TraesCS3B02G509900,TraesCS3D02G461100,HORVU.MOREX.r2.3HG0263330.1,,"TraesCS3A02G466000, TraesCS3B02G509900, TraesCS3D02G461100",0.9473684210526316,0.8666666666666667,,,1.0931174089068827,
N1.HOG0000124,OG0000007,n84,,,,,,,"HORVU.MOREX.r2.3HG0263190.1, HORVU.MOREX.r2.3HG0263160.1",,,0.3157894736842105,,,,,
N1.HOG0000129,OG0000008,n0,,,,,,,"HORVU.MOREX.r2.3HG0270700.1, HORVU.MOREX.r2.6HG0512210.1, HORVU.MOREX.r2.7HG0610740.1, HORVU.MOREX.r2.5HG0372950.1, HORVU.MOREX.r2.3HG0199410.1, HORVU.MOREX.r2.5HG0420480.1, HORVU.MOREX.r2.6HG0493200.1, HORVU.MOREX.r2.7HG0605980.1, HORVU.MOREX.r2.7HG0599530.1, HORVU.MOREX.r2.2HG0134490.1, HORVU.MOREX.r2.6HG0485990.1, HORVU.MOREX.r2.3HG0202930.1, HORVU.MOREX.r2.1HG0010270.1, HORVU.MOREX.r2.2HG0094700.1, HORVU.MOREX.r2.2HG0094510.1, HORVU.MOREX.r2.1HG0006030.1, HORVU.MOREX.r2.7HG0562140.1, HORVU.MOREX.r2.3HG0233090.1, HORVU.MOREX.r2.3HG0217850.1, HORVU.MOREX.r2.2HG0126080.1, HORVU.MOREX.r2.5HG0358030.1, HORVU.MOREX.r2.5HG0379130.1, HORVU.MOREX.r2.4HG0304220.1, HORVU.MOREX.r2.5HG0354300.1, HORVU.MOREX.r2.1HG0034540.1, HORVU.MOREX.r2.3HG0196720.1, HORVU.MOREX.r2.1HG0019010.1, HORVU.MOREX.r2.5HG0391430.1, HORVU.MOREX.r2.7HG0605320.1, HORVU.MOREX.r2.7HG0540520.1, HORVU.MOREX.r2.5HG0360230.1, HORVU.MOREX.r2.3HG0267590.1, HORVU.MOREX.r2.5HG0356480.1, HORVU.MOREX.r2.3HG0220560.1, HORVU.MOREX.r2.6HG0502640.1, HORVU.MOREX.r2.4HG0300740.1, HORVU.MOREX.r2.2HG0094180.1, HORVU.MOREX.r2.6HG0508010.1, HORVU.MOREX.r2.7HG0536710.1, HORVU.MOREX.r2.5HG0392320.1, HORVU.MOREX.r2.5HG0367650.1, HORVU.MOREX.r2.7HG0590670.1, HORVU.MOREX.r2.5HG0396410.1, HORVU.MOREX.r2.7HG0588040.1, HORVU.MOREX.r2.2HG0175210.1, HORVU.MOREX.r2.4HG0306750.1, HORVU.MOREX.r2.2HG0112590.1, HORVU.MOREX.r2.2HG0135450.1, HORVU.MOREX.r2.4HG0307170.1, HORVU.MOREX.r2.6HG0468330.1, HORVU.MOREX.r2.3HG0206630.1, HORVU.MOREX.r2.1HG0014500.1, HORVU.MOREX.r2.2HG0110490.1, HORVU.MOREX.r2.7HG0536860.1, HORVU.MOREX.r2.1HG0023590.1, HORVU.MOREX.r2.3HG0249920.1, HORVU.MOREX.r2.2HG0135380.1, HORVU.MOREX.r2.UnG0624830.1, HORVU.MOREX.r2.3HG0198550.1, HORVU.MOREX.r2.4HG0346130.1, HORVU.MOREX.r2.4HG0321330.1, HORVU.MOREX.r2.1HG0028310.1, HORVU.MOREX.r2.2HG0128620.1, HORVU.MOREX.r2.1HG0068110.1, HORVU.MOREX.r2.4HG0298160.1, HORVU.MOREX.r2.6HG0482950.1, HORVU.MOREX.r2.4HG0291780.1, HORVU.MOREX.r2.6HG0513280.1, HORVU.MOREX.r2.5HG0367970.1, HORVU.MOREX.r2.2HG0099450.1, HORVU.MOREX.r2.7HG0554440.1, HORVU.MOREX.r2.6HG0488530.1, HORVU.MOREX.r2.7HG0605610.1, HORVU.MOREX.r2.4HG0318320.1, HORVU.MOREX.r2.2HG0135310.1, HORVU.MOREX.r2.7HG0598780.1, HORVU.MOREX.r2.2HG0091510.1, HORVU.MOREX.r2.4HG0341520.1, HORVU.MOREX.r2.1HG0023980.1, HORVU.MOREX.r2.4HG0295730.1, HORVU.MOREX.r2.4HG0295740.1, HORVU.MOREX.r2.7HG0563260.1, HORVU.MOREX.r2.5HG0419020.1, HORVU.MOREX.r2.2HG0119700.1, HORVU.MOREX.r2.2HG0125610.1, HORVU.MOREX.r2.6HG0521930.1, HORVU.MOREX.r2.6HG0488260.1, HORVU.MOREX.r2.4HG0312600.1, HORVU.MOREX.r2.3HG0230960.1, HORVU.MOREX.r2.5HG0354270.1, HORVU.MOREX.r2.1HG0014850.1, HORVU.MOREX.r2.3HG0229380.1, HORVU.MOREX.r2.2HG0108920.1, HORVU.MOREX.r2.4HG0301060.1, HORVU.MOREX.r2.5HG0364900.1, HORVU.MOREX.r2.2HG0138030.1, HORVU.MOREX.r2.5HG0409690.1",,,0.7269736842105263,,,,,
N1.HOG0000131,OG0000009,n23,,TRIDC6AG002930.1,TRIDC3BG075020.1,TraesCS6A02G025100,"TraesCS6B02G023500, TraesCS7B02G362000",TraesCS6D02G018000,HORVU.MOREX.r2.6HG0450170.1,"TRIDC6AG002930.1, TRIDC3BG075020.1","TraesCS6A02G025100, TraesCS6B02G023500, TraesCS7B02G362000, TraesCS6D02G018000",0.42105263157894735,,0.8,0.5263157894736842,,
N1.HOG0000134,OG0000009,n57,,"TRIDC6AG002190.1, TRIDC6AG003710.1, TRIDC6AG003860.1","TRIDC6BG010340.1, TRIDC6BG002770.1, TRIDC6BG005570.1, TRIDC6BG005410.1, TRIDC6BG005530.1, TRIDC6BG005400.1","TraesCS6A02G018300, TraesCS6A02G031700, TraesCS6A02G031800, TraesCS6A02G031900, TraesCS6A02G030400","TraesCS1B02G063200, TraesCS6B02G045300","TraesCS6D02G040100, TraesCS6D02G036900, TraesCS6D02G034600, TraesCS6D02G036300, TraesCS6D02G034500",HORVU.MOREX.r2.6HG0451970.1,"TRIDC6AG002190.1, TRIDC6AG003710.1, TRIDC6AG003860.1, TRIDC6BG010340.1, TRIDC6BG002770.1, TRIDC6BG005570.1, TRIDC6BG005410.1, TRIDC6BG005530.1, TRIDC6BG005400.1","TraesCS6A02G018300, TraesCS6A02G031700, TraesCS6A02G031800, TraesCS6A02G031900, TraesCS6A02G030400, TraesCS1B02G063200, TraesCS6B02G045300, TraesCS6D02G040100, TraesCS6D02G036900, TraesCS6D02G034600, TraesCS6D02G036300, TraesCS6D02G034500",0.8421052631578947,0.6266666666666667,0.5714285714285714,1.4736842105263157,1.3437849944008957,0.911854103343465
N1.HOG0000137,OG0000010,n1,,TRIDC4AG004600.1,"TRIDC2BG002030.1, TRIDC3BG027580.1, TRIDC1BG005490.1",,,,HORVU.MOREX.r2.7HG0559410.1,"TRIDC4AG004600.1, TRIDC2BG002030.1, TRIDC3BG027580.1, TRIDC1BG005490.1",,0.8421052631578947,,0.775,1.0865874363327672,,
N1.HOG0000148,OG0000010,n89,,TRIDC5AG048240.1,"TRIDC7BG054550.1, TRIDC2BG038660.1",,,,"HORVU.MOREX.r2.4HG0336560.1, HORVU.MOREX.r2.3HG0211060.1","TRIDC5AG048240.1, TRIDC7BG054550.1, TRIDC2BG038660.1",,0.9473684210526316,,,,,
N1.HOG0000150,OG0000011,n8,,,TRIDC5BG081600.1,,TraesCS5B02G539900,"TraesCS5D02G444700, TraesCS5D02G547600",HORVU.MOREX.r2.5HG0445350.1,TRIDC5BG081600.1,"TraesCS5B02G539900, TraesCS5D02G444700, TraesCS5D02G547600",0.736842105263158,0.8,0.55,1.3397129186602872,0.9210526315789475,0.6875
N1.HOG0000154,OG0000011,n58,,TRIDC2AG069410.1,TRIDC4BG060090.1,"TraesCS6A02G290500, TraesCS2A02G491300","TraesCS6B02G009000, TraesCS6B02G320800, TraesCS2B02G608600, TraesCS2B02G519500, TraesCS6B02G071000","TraesCS6D02G271500, TraesCS2D02G590600, TraesCS2D02G491600",HORVU.MOREX.r2.4HG0345150.1,"TRIDC2AG069410.1, TRIDC4BG060090.1","TraesCS6A02G290500, TraesCS2A02G491300, TraesCS6B02G009000, TraesCS6B02G320800, TraesCS2B02G608600, TraesCS2B02G519500, TraesCS6B02G071000, TraesCS6D02G271500, TraesCS2D02G590600, TraesCS2D02G491600",0.7894736842105263,0.6666666666666667,0.8,0.9868421052631579,1.1842105263157894,1.2
